,audio_filepath,start,end,text,pronunciation
0,/kaggle/input/audio-files/Audio_Files/PaA2JCdTudE.wav,2646.76,2652.16,σου οι μαθο είναι φιλοξενούμενο μου,su i matho ine filoksenumeno mu
1,/kaggle/input/audio-files/Audio_Files/PaA2JCdTudE.wav,2666.04,2671.16,κατάλαβες τώρα έννα φύγω εγώ την επόμενη,katalaves tora ena figho egho tin epomeni
2,/kaggle/input/audio-files/Audio_Files/PaA2JCdTudE.wav,2669.24,2672.66,φορά που έννα βρεθείς μπροστά μου τρέχα να,fora pu ena vrethiz brosta mu trecha na
3,/kaggle/input/audio-files/Audio_Files/PaA2JCdTudE.wav,2671.16,2681.51,κρυφτείς,kriftis
4,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,1.32,9.28,βαθύ ποτάμι ο,vathi potami omikron
5,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,4.68,12.679,έρωτας με το φιλί να,erotaz me to fili na
6,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,9.28,15.96,τρέμει ψάχνω στα,tremi psachno sta
7,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,12.679,18.6,διάφανα νερά,thiafana nera
8,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,15.96,22.68,νυχτερινο,nichterino
9,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,18.6,24.92,μελτέμ κι από την όχθη,meltem ci apo tin ochthi
10,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,22.68,27.439,χύνονται στου,çinode stu
11,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,24.92,30.679,ποταμου τα,potamu ta
12,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,27.439,37.32,βάθη ποτάμι,vathi potami
13,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,30.679,37.32,κόκκινο κρασί να ξέρει ψαν τα,kocino krasi na kseri psan da
14,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,39.879,44.48,πάθη με ποιο δικαίωμα ρε με ποιο,pathi me pio thiceoma re me pio
15,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,42.559,46.32,δικαίωμα κάνεις κλείσεις απ το κινητό,thiceoma kanis klisis ap to cinito
16,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,44.48,48.16,μου με ελέγχεις έννα σε πάρει τζαί έννα σε,mu me eleŋçis ena se pari dze ena se
17,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,46.32,51.8,σηκώσει η ευρυδικη ήθελα να σου αποδείξω,sikosi i evrithici ithela na su apothikso
18,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,48.16,54.079,ότι έχεις γκόμενα αυτόν τον,oti eçiz ɡomen afton don
19,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,51.8,58.399,αχιλλέα κάνατε,açilea kanate
20,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,54.079,60.719,έρωτα όι βέβαια κρίμα μου πε ο σήφης,erota oɪ vevea krima mu pe o sifis
21,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,58.399,63.92,ότι έβαλες σιέρι σε όλη την συν ίσο διά,oti evales sjeri se oli tin sin iso thia
22,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,60.719,66.92,του μα θαω ήντα έκανες ακριβώς αύξησα την,tu ma thao ida ekanes akrivos afksisa tin
23,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,63.92,69.479,πτητική προφανώς ο αντώνη εννοεί ότι,ptitici profanos o adoni enoi oti
24,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,66.92,73.64,έβαλε ξύδι μεγάλης οξύτητας σε όλα τα,evale ksithi meghalis oksititas se ola ta
25,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,69.479,75.68,βαρέλια έτσι ακριβώς σε σκέφτομαι μελίνα,vareʎa etsi akrivos se sceftome melina
26,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,73.64,77.759,σε σκέφτομαι συνέχεια εν μπορώ να,se sceftome sineça en boro na
27,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,75.68,81.88,δουλέψω εν μπορώ να χαρώ τίποτα γιατί,thulepso en boro na charo tipota jati
28,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,77.759,84.68,είμαι μακριά σου εσύ με σκέφτεσαι,ime makria su esi me sceftese
29,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,81.88,87.15899999999999,καθόλου λίγο τσο πόλα έχεις γίνει,katholu ligho tso pola eçiz jini
30,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,84.68,90.119,τελευταία κωνσταντίνα το ξέρεις εγώ καλέ,teleftea konstadina to kseris egho kale
31,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,87.15899999999999,92.24,μπουμπου πού είσαι ρε μπουμπου σε έψαχνα,bubu pu ise re bubu se epsachna
32,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,90.119,96.6,σαν τα χιόνια εννεν η μπουμπού λέ με,san da çonya enen i bubu le me
33,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,92.24,96.6,λίσα ξες οχα δκε σε κατάπια,lisa kses ocha thce se katapça
34,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,97.6,103.84,γη έννα τα πούμε το βράδυ το πήρες το σμμ,ji ena ta pume to vrathi to pires to sighmamimi
35,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,100.64,106.68,μου ναι σε ευχαριστώ πολύ για το,mu ne se efcharisto poli ja to
36,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,103.84,109.24,φκιόρο κάνει προσπάθειες όμως εν,fcoro kani prospathçes omos en
37,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,106.68,109.24,μπορείς να,boriz na
38,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,114.2,119.079,πεις πόσο χαίρομαι που με πήρες τηλέφωνο,pis poso çerome pu me pires tilefono
39,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,117.28,121.119,να μην χαίρεσαι γιατί εν σε πήρα για,na min çerese jati en se pira ja
40,/kaggle/input/audio-files/Audio_Files/w4xL6TCHB5Y.wav,119.079,123.439,κουβεντούλα,kuvedula
